Field1,Field2,Lag,P-Value
Data Driven Contained Vertex avg length_P1,Data Driven Horizontal Muon avg decision_P1,1,0.000748406603008676
Data Driven Contained Vertex avg length_P1,Data Driven Horizontal Muon avg delay_P1,1,4.810092500680973e-05
Data Driven Contained Vertex avg length_P1,Data Driven Horizontal Muon avg length_P1,2,0.00142917048148521
Data Driven Contained Vertex avg length_P1,Data Driven Horizontal Muon rate_P1,1,0.0014038822603894877
Data Driven Contained Vertex avg length_P1,Data Driven Neutron-Antineutron avg delay_P1,1,0.001237008229902901
Data Driven Contained Vertex avg length_P1,Data Driven Slow Monople avg decision_P1,3,0.002198113670533872
Data Driven Contained Vertex avg length_P1,Data Driven Slow Monople avg length_P1,1,0.0012646357935051952
Data Driven Contained Vertex avg length_P1,Data Driven Slow Monople rate_P1,1,0.0003701673114786076
Data Driven Contained Vertex avg length_P1,Data Driven Upmu avg delay_P1,1,0.030402211017424758
Data Driven Contained Vertex avg length_P1,Data Driven Upmu avg length_P1,1,0.048401899460895535
Data Driven Contained Vertex avg length_P1,Data Driven Upmu rate_P1,1,1.8154891519504564e-09
Data Driven Contained Vertex avg length_P1,NuMI Beam Spill Trigger rate_P1,3,0.00027088510632074366
Data Driven Contained Vertex avg length_P1,Overall Trigger Rate_P1,1,0.017103713487581756
Data Driven Contained Vertex avg length_P1,Periodic Calibration Pulser rate_P1,1,3.5311933712616144e-05
Data Driven Contained Vertex avg length_P1,SN message delay_P1,4,1.1334257192082822e-10
Data Driven Contained Vertex avg length_P1,SN message rate_P1,1,0.0018940634039723012
Data Driven Contained Vertex avg length_P1,SN processing delay_P1,1,0.009348818846634058
Data Driven Contained Vertex avg length_P1,SNEWS Trigger Min Delay_P1,3,7.107052915013052e-07
Data Driven Contained Vertex avg length_P1,Data Driven Sun avg length_P1,2,3.886378618926768e-17
Data Driven Contained Vertex avg length_P1,Data Driven Sun rate_P1,1,0.00038072079230899795
Data Driven Contained Vertex rate_P1,Data Driven Energy avg decision_P1,1,1.2487087774401754e-73
Data Driven Contained Vertex rate_P1,Data Driven Energy avg delay_P1,1,1.4450853461703655e-74
Data Driven Contained Vertex rate_P1,Data Driven Energy avg length_P1,1,0.0034240921093357745
Data Driven Contained Vertex rate_P1,Data Driven Energy rate_P1,1,6.779803668910601e-121
Data Driven Contained Vertex rate_P1,Data Driven Fast Monopole Neural Network rate_P1,1,0.03448806099675033
Data Driven Contained Vertex rate_P1,Data Driven Fast Monopole avg decision_P1,1,6.00185095231324e-77
Data Driven Contained Vertex rate_P1,Data Driven Fast Monopole avg delay_P1,1,3.070460652884943e-78
Data Driven Contained Vertex rate_P1,Data Driven Fast Monopole avg length_P1,1,1.963974655622551e-83
Data Driven Contained Vertex rate_P1,Data Driven Fast Monopole rate_P1,1,8.996294625435116e-88
Data Driven Contained Vertex rate_P1,Data Driven Horizontal Muon avg decision_P1,1,3.510753497459339e-75
Data Driven Contained Vertex rate_P1,Data Driven Horizontal Muon avg delay_P1,1,7.9210916254879e-80
Data Driven Contained Vertex rate_P1,Data Driven Horizontal Muon avg length_P1,1,8.714426221195958e-183
Data Driven Contained Vertex rate_P1,Data Driven Horizontal Muon rate_P1,1,1.1435924964600536e-128
Data Driven Contained Vertex rate_P1,Data Driven Neutron-Antineutron avg decision_P1,1,8.248155413129971e-68
Data Driven Contained Vertex rate_P1,Data Driven Neutron-Antineutron avg delay_P1,1,1.582331217972108e-82
Data Driven Contained Vertex rate_P1,Data Driven Neutron-Antineutron avg length_P1,1,8.240987516200086e-44
Data Driven Contained Vertex rate_P1,Data Driven Neutron-Antineutron rate_P1,1,1.741280342710972e-213
Data Driven Contained Vertex rate_P1,Data Driven Slow Monople avg decision_P1,1,4.5713612539698914e-57
Data Driven Contained Vertex rate_P1,Data Driven Slow Monople avg delay_P1,1,7.423689794068221e-58
Data Driven Contained Vertex rate_P1,Data Driven Slow Monople avg length_P1,1,3.7766196621522525e-112
Data Driven Contained Vertex rate_P1,Data Driven Slow Monople rate_P1,1,2.2616553694967924e-70
Data Driven Contained Vertex rate_P1,Data Driven Upmu avg decision_P1,1,4.541059808835653e-71
Data Driven Contained Vertex rate_P1,Data Driven Upmu avg delay_P1,1,8.302912848582301e-78
Data Driven Contained Vertex rate_P1,Data Driven Upmu avg length_P1,1,1.336464817867457e-161
Data Driven Contained Vertex rate_P1,Data Driven Upmu rate_P1,1,3.493527506204097e-80
Data Driven Contained Vertex rate_P1,LIGO Beat Fast rate_P1,1,6.519421942982867e-40
Data Driven Contained Vertex rate_P1,NuMI Beam Spill Trigger rate_P1,3,0.04559755640184722
Data Driven Contained Vertex rate_P1,Overall Trigger Rate_P1,1,1.1318600138145733e-65
Data Driven Contained Vertex rate_P1,Periodic Calibration Pulser rate_P1,1,1.7137970912111946e-84
Data Driven Contained Vertex rate_P1,SN datablock process rate_P1,1,1.20577528524e-17
Data Driven Contained Vertex rate_P1,SN message delay_P1,1,1.1820690299695383e-79
Data Driven Contained Vertex rate_P1,SN message rate_P1,1,8.558067622545941e-260
Data Driven Contained Vertex rate_P1,SN processing delay_P1,1,4.1187465388424385e-74
Data Driven Contained Vertex rate_P1,SN triggering delay_P1,1,4.497197948920569e-78
Data Driven Contained Vertex rate_P1,SNEWS Beat Fast rate_P1,1,3.3027998152496296e-74
Data Driven Contained Vertex rate_P1,Spill Trigger Avg Delay_P1,1,1.9058010517009733e-13
Data Driven Contained Vertex rate_P1,Spill Trigger Max Delay_P1,1,1.682931761898135e-05
Data Driven Contained Vertex rate_P1,Spill Trigger Min Delay_P1,1,2.8419194515905157e-08
Data Driven Contained Vertex rate_P1,Spill Trigger Std Delay_P1,1,2.3868300976558694e-13
Data Driven Contained Vertex rate_P1,Data Driven Sun avg length_P1,2,0.0033346218695493755
Data Driven Energy avg decision_P1,Data Driven Energy avg delay_P1,2,4.134682463959855e-05
Data Driven Energy avg decision_P1,Data Driven Energy avg length_P1,1,0.020978414393143796
Data Driven Energy avg decision_P1,Data Driven Energy rate_P1,1,2.219932382293822e-73
Data Driven Energy avg decision_P1,Data Driven Fast Monopole avg decision_P1,1,4.753673882699492e-21
Data Driven Energy avg decision_P1,Data Driven Fast Monopole avg delay_P1,1,1.5697562843148708e-21
Data Driven Energy avg decision_P1,Data Driven Fast Monopole avg length_P1,1,3.4020642012949396e-47
Data Driven Energy avg decision_P1,Data Driven Fast Monopole rate_P1,1,4.1141226378942285e-51
Data Driven Energy avg decision_P1,Data Driven Horizontal Muon avg decision_P1,1,2.5844108259134117e-272
Data Driven Energy avg decision_P1,Data Driven Horizontal Muon avg delay_P1,1,8.8159190066863e-28
Data Driven Energy avg decision_P1,Data Driven Horizontal Muon avg length_P1,1,3.3033369933811255e-73
Data Driven Energy avg decision_P1,Data Driven Horizontal Muon rate_P1,1,2.7799377407542568e-67
Data Driven Energy avg decision_P1,Data Driven Neutron-Antineutron avg decision_P1,1,1.3414873501503484e-61
Data Driven Energy avg decision_P1,Data Driven Neutron-Antineutron avg delay_P1,1,1.0230377567248673e-27
Data Driven Energy avg decision_P1,Data Driven Neutron-Antineutron avg length_P1,1,1.2680627764848259e-36
Data Driven Energy avg decision_P1,Data Driven Neutron-Antineutron rate_P1,1,3.748505652374899e-40
Data Driven Energy avg decision_P1,Data Driven Numu avg length_P1,1,0.023448862458337792
Data Driven Energy avg decision_P1,Data Driven Slow Monople avg decision_P1,1,3.542516346662614e-50
Data Driven Energy avg decision_P1,Data Driven Slow Monople avg delay_P1,1,0.0
Data Driven Energy avg decision_P1,Data Driven Slow Monople avg length_P1,1,7.933299161728357e-133
Data Driven Energy avg decision_P1,Data Driven Slow Monople rate_P1,1,8.640906033838809e-56
Data Driven Energy avg decision_P1,Data Driven Upmu avg decision_P1,1,4.670734489427042e-62
Data Driven Energy avg decision_P1,Data Driven Upmu avg delay_P1,1,2.720500552041674e-226
Data Driven Energy avg decision_P1,Data Driven Upmu avg length_P1,1,5.503367475995547e-69
Data Driven Energy avg decision_P1,Data Driven Upmu rate_P1,1,2.692676477560468e-95
Data Driven Energy avg decision_P1,LIGO Beat Fast rate_P1,1,5.3535492641820965e-28
Data Driven Energy avg decision_P1,Overall Trigger Rate_P1,1,1.5461595467333253e-32
Data Driven Energy avg decision_P1,Periodic Calibration Pulser rate_P1,1,4.658769427967474e-70
Data Driven Energy avg decision_P1,SN datablock process rate_P1,1,5.2707989288606255e-18
Data Driven Energy avg decision_P1,SN message delay_P1,1,1.28708298315805e-35
Data Driven Energy avg decision_P1,SN message rate_P1,1,1.0317263884986248e-61
Data Driven Energy avg decision_P1,SN processing delay_P1,1,3.596419249380855e-49
Data Driven Energy avg decision_P1,SN triggering delay_P1,1,3.228843786856794e-48
Data Driven Energy avg decision_P1,SNEWS Beat Fast rate_P1,1,2.874737343576357e-35
Data Driven Energy avg decision_P1,SNEWS Trigger Avg Delay_P1,1,0.0281995197844238
Data Driven Energy avg decision_P1,SNEWS Trigger Min Delay_P1,2,2.0842953688753024e-12
Data Driven Energy avg decision_P1,Spill Trigger Avg Delay_P1,1,5.1441187564543e-07
Data Driven Energy avg decision_P1,Spill Trigger Max Delay_P1,1,0.00016698951688386937
Data Driven Energy avg decision_P1,Spill Trigger Min Delay_P1,1,0.00012078169935798815
Data Driven Energy avg decision_P1,Spill Trigger Std Delay_P1,1,0.026945904242514408
Data Driven Energy avg decision_P1,Data Driven Sun avg length_P1,2,0.004214067837615382
Data Driven Energy avg decision_P1,Data Driven Sun rate_P1,1,0.04383881358953998
Data Driven Energy avg delay_P1,Data Driven Energy avg length_P1,1,0.024459296035201653
Data Driven Energy avg delay_P1,Data Driven Energy rate_P1,1,1.140930101568253e-73
